Date,Supply Power,Load Power,Temperature,Holiday
20190906,39285.0,34200.0,28.487449091011122,0
20190907,34982.0,30088.0,28.847846236127722,2
20190908,33239.0,29047.0,28.565359317652064,2
20190909,39318.0,34357.0,29.015737926025576,0
20190910,38812.0,34664.0,28.960930757842178,0
20190911,39916.0,35341.0,29.86030292254368,0
20190912,39889.0,35264.0,29.87408924359656,0
20190913,34199.0,29375.0,29.61376873234486,2
20190914,33070.0,28676.0,29.089979059178404,2
20190915,33578.0,28191.0,27.361008411431893,2
20190916,39253.0,33228.0,27.503515102680723,0
20190917,38936.0,32961.0,27.45880987855016,0
20190918,38470.0,32428.0,27.242454864507618,0
20190919,38401.0,31508.0,26.418605200621275,0
20190920,36939.0,30594.0,24.319150302246438,0
20190921,32072.0,26460.0,23.37246002616923,2
20190922,31257.0,25836.0,25.17693269989264,2
20190923,36566.0,29947.0,25.450532858747223,0
20190924,36722.0,30106.0,25.574102085949086,0
20190925,36388.0,30709.0,26.12425497668971,0
20190926,36821.0,31162.0,26.505287452391215,0
20190927,37499.0,31255.0,26.440857561376927,0
20190928,33013.0,28161.0,26.626709713886232,2
20190929,32241.0,27926.0,27.68517839869337,2
20190930,36162.0,28505.0,26.3895138236368,0
20191001,36449.0,31917.0,27.393048393791275,0
20191002,37393.0,33316.0,28.31014717039342,0
20191003,37506.0,33699.0,28.258301524099252,0
20191004,38091.0,33670.0,27.736741012639893,0
20191005,37012.0,32451.0,27.877858455521086,0
20191006,31819.0,28030.0,27.8214946495966,2
20191007,36591.0,32889.0,28.031958793723636,0
20191008,37289.0,32938.0,27.388293373716905,0
20191009,37046.0,32345.0,26.74952391211431,0
20191010,32222.0,27817.0,26.67723427269147,2
20191011,31667.0,27177.0,26.626299518764046,2
20191012,31704.0,26962.0,26.79544837485529,2
20191013,31796.0,26364.0,26.59001136900467,2
20191014,35975.0,30884.0,25.854748339331792,0
20191015,35615.0,30530.0,24.893551359151036,0
20191016,34313.0,30329.0,24.242497921615424,0
20191017,34761.0,30179.0,24.918982152714484,0
20191018,34982.0,30172.0,24.20364322955872,0
20191019,31218.0,26430.0,23.928204191674645,2
20191020,29653.0,25233.0,24.013625624782303,2
20191021,33493.0,29219.0,23.896840861621733,0
20191022,33840.0,30037.0,24.568082100331527,0
20191023,34065.0,30286.0,24.95620582892009,0
20191024,34172.0,30343.0,24.971574911209775,0
20191025,34251.0,30131.0,25.019299997849306,0
20191026,29599.0,26498.0,24.735682050049824,2
20191027,28487.0,25725.0,25.005908687289086,2
20191028,34260.0,30207.0,24.618714298816204,0
20191029,34240.0,29624.0,23.055413478018068,0
20191030,33380.0,29714.0,23.979517529254977,0
20191031,33719.0,30080.0,24.54889721396348,0
20191101,34261.0,30331.0,25.203875689735685,0
20191102,30083.0,26705.0,25.12909062918628,2
20191103,29165.0,25745.0,24.70217821872739,2
20191104,32647.0,29192.0,23.172992829295097,0
20191105,33016.0,29247.0,22.88224544763942,0
20191106,32766.0,29422.0,23.677259994477417,0
20191107,33353.0,29601.0,23.831476018915218,0
20191108,33641.0,28900.0,22.990060661884222,0
20191109,29609.0,25900.0,22.04152724247375,2
20191110,27748.0,24716.0,21.911703839035265,2
20191111,32227.0,28620.0,22.12428265758333,0
20191112,32897.0,29305.0,23.222111824135663,0
20191113,32660.0,29360.0,23.288853437486175,0
20191114,32776.0,28953.0,21.798393043474395,0
20191115,31914.0,28764.0,22.228016401624735,0
20191116,29275.0,26075.0,23.294270110642,2
20191117,27956.0,25366.0,23.732920023415353,2
20191118,32343.0,29306.0,22.571830837417796,0
20191119,32080.0,28743.0,19.795733625876935,0
20191120,32282.0,28935.0,20.522546752219725,0
20191121,32516.0,29520.0,21.471928391091783,0
20191122,32470.0,29500.0,22.856692293278297,0
20191123,29491.0,26796.0,23.594370507185168,2
20191124,28774.0,25584.0,23.96383262891979,2
20191125,32309.0,29340.0,22.63666180783242,0
20191126,32597.0,29285.0,21.787459782671306,0
20191127,32877.0,29312.0,21.80695054940301,0
20191128,32028.0,28610.0,19.576739013979253,0
20191129,31864.0,28472.0,19.930050091354982,0
20191130,28859.0,25855.0,21.463186469475374,2
20191201,28261.0,24836.0,21.66986499337859,2
20191202,31398.0,27936.0,17.70581725196399,0
20191203,31307.0,28157.0,17.53979203546714,0
20191204,31527.0,28474.0,17.682035273084775,0
20191205,31728.0,28706.0,15.524288046674473,0
20191206,31977.0,28563.0,15.424488561654046,0
20191207,28725.0,25824.0,15.092714789272941,2
20191208,27706.0,24750.0,16.705973912596356,2
20191209,31412.0,28207.0,18.431767029837026,0
20191210,31602.0,28456.0,19.617192189575373,0
20191211,31599.0,28397.0,19.614411993298738,0
20191212,31420.0,28422.0,19.381577843073128,0
20191213,31524.0,28370.0,19.995408401642532,0
20191214,28711.0,25676.0,20.713791555640267,2
20191215,27529.0,24717.0,21.8586745208962,2
20191216,31890.0,28851.0,21.367656269428846,0
20191217,32423.0,29234.0,22.854497783674464,0
20191218,32339.0,29085.0,21.488971422737364,0
20191219,32059.0,28952.0,20.118779678627234,0
20191220,31727.0,28581.0,19.29557538930621,0
20191221,29167.0,26352.0,20.336286919909455,2
20191222,27862.0,25115.0,20.411742180688314,2
20191223,32117.0,28787.0,20.27328193055044,0
20191224,32280.0,28996.0,20.23894189397878,0
20191225,32571.0,28965.0,21.1881790903758,0
20191226,32218.0,28955.0,20.939195014398514,0
20191227,31073.0,27867.0,16.999990723594255,0
20191228,28502.0,25349.0,19.496845694499346,2
20191229,27888.0,24989.0,19.00464077381416,2
20191230,31134.0,27991.0,20.090016653033253,0
20191231,30472.0,27364.0,17.276645533024375,0
20200101,28125.0,25335.0,17.150773600325717,2
20200102,31303.0,28223.0,19.393788565683504,0
20200103,31676.0,28292.0,20.044544163231123,0
20200104,29219.0,25583.0,20.197904898115276,2
20200105,27456.0,24761.0,21.042642067443236,2
20200106,31653.0,28644.0,20.479543343743178,0
20200107,32248.0,29144.0,21.419063328989925,0
20200108,31779.0,28544.0,19.255874980748832,0
20200109,31861.0,28730.0,19.35808325354759,0
20200110,31774.0,28476.0,20.741131502723345,0
20200111,29193.0,25342.0,19.629788028257625,2
20200112,27933.0,24842.0,16.45628807436155,2
20200113,31804.0,28647.0,16.938270809987817,0
20200114,32213.0,28801.0,18.230982150736835,0
20200115,31817.0,28431.0,18.372950859893766,0
20200116,31719.0,28714.0,19.3175109184717,0
20200117,31585.0,28186.0,16.493838661982608,0
20200118,29228.0,26068.0,15.330081084809214,2
20200119,28656.0,25322.0,16.007142640837593,2
20200120,31153.0,27970.0,16.706049712140956,0
20200121,30776.0,27517.0,18.57702063107246,0
20200122,29635.0,25748.0,20.90495439172611,0
20200123,26875.0,23531.0,22.18592264948486,2
20200124,25026.0,21543.0,21.331684283803384,2
20200125,24573.0,21022.0,20.146151694510717,2
20200126,24702.0,21174.0,18.136430806170953,2
20200127,25414.0,21710.0,16.02979359039298,2
20200128,26470.0,22817.0,14.285756836049757,2
20200129,27288.0,23984.0,13.068330400233956,2
20200130,29314.0,26323.0,12.310392003231478,0
20200131,30075.0,26714.0,12.822385085665536,0
20200201,29101.0,25211.0,14.714740913263073,2
20200202,28063.0,24816.0,17.309266121972932,2
20200203,32048.0,27960.0,17.682606226279038,0
20200204,31745.0,28443.0,17.414659359998456,0
20200205,32040.0,28397.0,17.0869069125971,0
20200206,31829.0,28482.0,19.08213246212989,0
20200207,32042.0,28275.0,17.25680367812887,0
20200208,29290.0,25630.0,16.622782197409332,2
20200209,28234.0,25150.0,15.895757617220768,2
20200210,31429.0,28283.0,17.474969816145467,0
20200211,31882.0,28663.0,19.045143971547574,0
20200212,31881.0,28533.0,21.629123896935855,0
20200213,32340.0,29094.0,22.47905327017714,0
20200214,32322.0,29199.0,22.24012529389705,0
20200215,30766.0,27770.0,23.745104276441587,0
20200216,29047.0,25062.0,16.68267079031022,2
20200217,32044.0,28300.0,12.592020789284312,0
20200218,32675.0,28426.0,14.585231368762406,0
20200219,31938.0,28374.0,17.353177746811102,0
20200220,31745.0,28613.0,18.170928003967163,0
20200221,31665.0,28527.0,19.378838163862486,0
20200222,29721.0,26047.0,19.385667063185117,2
20200223,28803.0,25064.0,20.028138169127974,2
20200224,31837.0,28827.0,21.88247773477217,0
20200225,32320.0,29196.0,23.094114284329933,0
20200226,32634.0,29467.0,23.148315853395953,0
20200227,32621.0,28368.0,20.847562567224585,0
20200228,29642.0,26356.0,21.745918678120212,2
20200229,28483.0,25677.0,23.022278885961146,2
20200301,28307.0,24986.0,22.11093224107827,2
20200302,31852.0,28557.0,19.32009409773389,0
20200303,32289.0,29183.0,21.23401997276284,0
20200304,32616.0,28858.0,19.79392161814136,0
20200305,32126.0,28608.0,16.545274069893544,0
20200306,31748.0,28569.0,20.07140011801615,0
20200307,29894.0,26182.0,22.479998950610465,2
20200308,28936.0,25557.0,23.45204245318351,2
20200309,32862.0,29653.0,23.993153870418066,0
20200310,32522.0,28591.0,19.86598961265042,0
20200311,31786.0,28531.0,19.063873535335258,0
20200312,32350.0,29348.0,21.51241517434575,0
20200313,32263.0,29165.0,21.46405860611899,0
20200314,29628.0,25802.0,17.421452229044284,2
20200315,28330.0,24837.0,18.372742236556874,2
20200316,32804.0,27984.0,20.135071512992283,0
20200317,32896.0,28753.0,21.19473500009517,0
20200318,33271.0,29118.0,21.359855714500785,0
20200319,32474.0,29389.0,21.657331710178635,0
20200320,32730.0,29030.0,22.624736725593166,0
20200321,29655.0,26635.0,24.182462482160997,2
20200322,29174.0,26088.0,25.378132582272016,2
20200323,33143.0,29372.0,23.173423233509073,0
20200324,33595.0,29470.0,23.01111356051072,0
20200325,33615.0,30038.0,24.515386732799218,0
20200326,34029.0,30842.0,26.441202747497098,0
20200327,34524.0,31260.0,25.648579684016326,0
20200328,29959.0,25893.0,20.551030954148477,2
20200329,28641.0,25152.0,19.25796497164918,2
20200330,32224.0,28716.0,21.472672919990043,0
20200331,32484.0,29162.0,22.550642092905463,0
20200401,32373.0,28278.0,20.379389760825706,0
20200402,29551.0,25443.0,20.209230116416727,2
20200403,28869.0,25120.0,21.054442279743768,2
20200404,28652.0,24238.0,19.82245162734484,2
20200405,28596.0,24347.0,18.892826742697352,2
20200406,32300.0,28246.0,18.821129025719063,0
20200407,32145.0,28108.0,18.394725321979653,0
20200408,31610.0,28246.0,19.945760348847244,0
20200409,31963.0,28285.0,21.50623606221582,0
20200410,33120.0,28470.0,23.285891291401754,0
20200411,28931.0,25752.0,21.625264238510297,2
20200412,27413.0,24604.0,17.6114784304099,2
20200413,30942.0,27614.0,18.007703174298285,0
20200414,31447.0,27884.0,20.549622120884234,0
20200415,31679.0,28182.0,21.872801343515256,0
20200416,31672.0,28528.0,22.885372677901188,0
20200417,32599.0,28990.0,23.9396342006062,0
20200418,30146.0,26657.0,25.33921979062145,2
20200419,29546.0,26518.0,26.087222230050415,2
20200420,34077.0,29986.0,25.250214407957657,0
20200421,34362.0,29986.0,23.937965016146258,0
20200422,32626.0,28595.0,21.3387811606273,0
20200423,31998.0,28050.0,19.80752435782675,0
20200424,31626.0,27678.0,18.550606278933916,0
20200425,28825.0,25659.0,21.594044059280993,2
20200426,28230.0,25110.0,22.64013885932717,2
20200427,32516.0,28706.0,23.512431551744296,0
20200428,33642.0,28955.0,24.663789695414994,0
20200429,32878.0,29532.0,25.51523972556177,0
20200430,34477.0,29613.0,25.901777491595613,0
20200501,30298.0,26786.0,26.680335435078877,0
20200502,29887.0,26473.0,27.35995578349598,2
20200503,29782.0,26815.0,27.725534298722266,2
20200504,35816.0,32340.0,28.67285634685377,0
20200505,36721.0,33321.0,28.76983953115896,0
20200506,36390.0,32964.0,27.762937631899863,0
20200507,36246.0,32510.0,27.374402527780397,0
20200508,37205.0,33791.0,28.646246627800934,0
20200509,33523.0,29700.0,29.63434666169288,2
20200510,32439.0,29424.0,29.165657435746827,2
20200511,36553.0,33203.0,27.397093098279967,0
20200512,35739.0,31973.0,25.241381570148786,0
20200513,36463.0,32264.0,27.07333140265435,0
20200514,36824.0,33442.0,28.402905189818377,0
20200515,37409.0,33787.0,28.99680467066102,0
20200516,33975.0,30028.0,28.056454561433046,2
20200517,32935.0,28694.0,28.46831156313555,2
20200518,36888.0,32803.0,26.770845931569916,0
20200519,35962.0,31336.0,24.247186882062216,0
20200520,36458.0,31507.0,25.06794967206886,0
20200521,35554.0,31571.0,25.13687220487248,0
20200522,34567.0,30892.0,24.45595247983479,0
20200523,30959.0,26898.0,24.621010607857347,2
20200524,31194.0,26905.0,26.732964742983615,2
20200525,36380.0,32438.0,27.50352408243925,0
20200526,36459.0,32896.0,27.69073403871098,0
20200527,36376.0,31444.0,25.048636609381617,0
20200528,36780.0,31519.0,24.87910311927023,0
20200529,36642.0,32544.0,26.493478229431407,0
20200530,32699.0,28513.0,28.492992803338467,2
20200531,32206.0,28776.0,29.198878957799213,2
20200601,37293.0,33660.0,29.279273821204292,0
20200602,38452.0,34381.0,29.173475202393742,0
20200603,38653.0,34490.0,29.853807633919534,0
20200604,38689.0,34935.0,30.11397255988504,0
20200605,38543.0,34861.0,30.170482693230433,0
20200606,34992.0,30752.0,29.68126603594524,2
20200607,32656.0,28121.0,27.44645041826022,2
20200608,36941.0,32361.0,26.41924650864764,0
20200609,36875.0,32360.0,27.126416521371333,0
20200610,38137.0,33770.0,29.046033115965084,0
20200611,38206.0,34220.0,29.518066649955543,0
20200612,38596.0,35010.0,30.095035281242577,0
20200613,35316.0,31552.0,30.37964969795133,2
20200614,34393.0,29821.0,28.828764502649925,2
20200615,40129.0,35096.0,29.69948705369735,0
20200616,39696.0,35674.0,30.187451556891126,0
20200617,40135.0,36160.0,30.493307601659147,0
20200618,40155.0,35964.0,30.647236168761616,0
20200619,40202.0,36340.0,30.728043569565873,0
