Date,Operating Reserve,Temperature,Holiday
20190528,3169.0,25.601851152808173,0
20190529,5905.0,24.34354675493899,0
20190530,4367.0,26.69435956831897,0
20190531,4515.0,28.300331021215467,0
20190601,4042.0,27.699954396670236,2
20190602,3632.0,29.479986108257943,2
20190603,4540.0,28.653352020872095,0
20190604,4546.0,27.232185030489156,0
20190605,4029.0,28.807209936495248,0
20190606,3785.0,29.83164885300117,0
20190607,4702.0,30.038611954289628,2
20190608,3310.0,29.740198355635027,2
20190609,4082.0,30.03730358555022,2
20190610,4147.0,27.677916499493598,0
20190611,4215.0,25.407411434118732,0
20190612,5418.0,25.00568085604477,0
20190613,3593.0,25.910500304187,0
20190614,4895.0,25.423530384956624,0
20190615,5436.0,26.919947560187865,2
20190616,4962.0,28.381081465753688,2
20190617,3765.0,28.83198918152313,0
20190618,3257.0,29.829744643601853,0
20190619,3657.0,30.677237690314637,0
20190620,3703.0,30.793890822451946,0
20190621,4080.0,30.95589514657957,0
20190622,4190.0,30.038426432354917,2
20190623,4744.0,26.963535864277965,2
20190624,5416.0,26.206427931164992,0
20190625,3514.0,27.351908937214368,0
20190626,4112.0,27.258794366372666,0
20190627,4175.0,28.221585751193576,0
20190628,3567.0,30.0010578872439,0
20190629,3602.0,30.323674061093012,2
20190630,3439.0,30.07565867424897,2
20190701,3634.0,30.425279219194856,0
20190702,4883.0,28.81068653683901,0
20190703,4753.0,28.160456177913183,0
20190704,4895.0,29.45933569192593,0
20190705,5714.0,29.585858239957442,0
20190706,4435.0,29.407839835963976,2
20190707,4313.0,30.239101836271004,2
20190708,4455.0,29.892460840713056,0
20190709,4166.0,29.51431052758955,0
20190710,3897.0,30.04400403044688,0
20190711,4155.0,28.80248996405377,0
20190712,4332.0,29.28466083581837,0
20190713,5138.0,30.416650690977892,2
20190714,3257.0,30.440506145665154,2
20190715,3637.0,30.512872659978754,0
20190716,3224.0,30.84654849106684,0
20190717,3770.0,30.65125511438346,0
20190718,4080.0,29.004194560775474,0
20190719,4510.0,29.078435242777317,0
20190720,6218.0,28.86450416406173,2
20190721,5390.0,28.567224629184796,2
20190722,5758.0,28.11744853603361,0
20190723,4766.0,28.066039987056296,0
20190724,5038.0,29.256032024550525,0
20190725,4636.0,30.15950478084074,0
20190726,3897.0,30.05270526813324,0
20190727,5346.0,28.77494602256645,2
20190728,5714.0,29.25532970607946,2
20190729,4924.0,30.32435220281573,0
20190730,4067.0,30.674164524008525,0
20190731,3729.0,30.84969162903573,0
20190801,4042.0,29.966291914707003,0
20190802,5035.0,29.125174867355433,0
20190803,5875.0,29.54228031852001,2
20190804,3818.0,30.668207631546352,2
20190805,3928.0,30.324238821776575,0
20190806,4771.0,30.196903454184937,0
20190807,4719.0,29.363641081338443,0
20190808,4317.0,28.934772424613907,0
20190809,6977.0,28.720242266839616,0
20190810,4571.0,31.28695874551846,2
20190811,4187.0,30.750654181279632,2
20190812,5793.0,29.243658492058135,0
20190813,4752.0,29.02743198806291,0
20190814,4064.0,29.85960779776768,0
20190815,6355.0,29.690712772813466,0
20190816,6048.0,29.06608751859298,0
20190817,6655.0,28.99816267218826,2
20190818,6143.0,27.349751119163436,2
20190819,6376.0,26.553158353499164,0
20190820,6269.0,27.236065281175833,0
20190821,6430.0,27.4323117050318,0
20190822,4824.0,29.357990334986397,0
20190823,4868.0,30.15781110444479,0
20190824,6973.0,28.662368606912523,2
20190825,5462.0,28.89609727210634,2
20190826,5354.0,29.54469950749146,0
20190827,4692.0,29.602612776002427,0
